#
# User Projection Degree. G(671, 197780). 429 (0,6393) nodes with in-deg > avg deg (589,5), 0 (0,0000) with >2*avg.deg (Mon Sep 27 05:24:26 2021)
#
# In-degree	Count
218	1
228	1
231	1
254	1
280	1
281	1
306	1
308	1
311	2
318	1
333	1
334	2
335	1
339	1
340	1
342	2
343	1
357	1
360	1
367	1
371	1
375	1
387	1
388	2
390	1
392	1
397	1
398	1
401	1
405	2
406	1
408	1
410	1
412	1
413	1
414	1
415	1
419	3
420	1
425	1
426	2
430	3
432	1
435	1
436	1
439	1
442	1
443	1
446	1
447	1
448	1
450	1
456	1
457	1
458	1
459	1
460	1
463	1
465	1
466	1
467	1
474	1
478	1
481	1
483	1
485	1
486	1
489	1
490	1
492	1
493	1
494	1
495	2
496	1
501	1
502	1
504	1
505	1
506	1
507	4
512	4
513	1
515	1
516	1
517	2
518	1
519	2
520	1
525	1
528	3
529	2
530	3
531	3
533	3
534	1
535	1
536	2
538	5
539	2
540	2
541	4
542	3
543	3
544	4
545	2
546	1
547	2
548	2
549	2
550	1
551	3
552	2
553	1
554	4
555	2
556	5
557	3
558	4
559	1
560	1
561	4
562	3
563	3
564	3
565	1
566	1
568	4
571	5
572	1
573	1
574	2
576	1
577	1
579	2
580	2
581	3
582	1
583	5
584	3
585	2
587	3
588	3
589	3
590	3
591	7
592	3
593	4
594	3
595	5
596	2
597	4
598	6
599	2
600	4
601	2
602	4
603	2
604	1
605	3
606	2
607	5
608	3
609	3
610	4
611	4
612	4
614	1
615	4
616	5
617	4
618	4
619	1
620	1
621	5
622	4
623	3
624	4
625	4
626	6
627	2
628	7
629	5
630	4
631	4
632	7
633	2
634	6
635	5
636	1
637	6
638	3
639	2
640	3
641	8
642	5
643	7
644	6
645	7
646	5
647	8
648	8
649	2
650	1
651	5
652	5
653	5
654	5
655	7
656	10
657	8
658	9
659	11
660	7
661	3
662	6
663	11
664	10
665	11
666	4
667	13
668	12
669	21
670	26
